depa_nombre,muni_nombre,codigo_habilitacion,nombre_prestador,tido_codigo,nits_nit,razon_social,clpr_codigo,clpr_nombre,ese,direccion,telefono,fax,email,gerente,nivel,caracter,habilitado,fecha_radicacion,fecha_vencimiento,fecha_cierre,dv,clase_persona,naju_codigo,naju_nombre,numero_sede_principal,fecha_corte_REPS
Bolívar,ARJONA,"1,305,200,155",GENESIS IPS SALUD,,"901,247,333",GENESIS IPS SALUD,1,Instituciones - IPS,,CALLE DEL COCO CARRERA 41# 45-66,3043954544,,genesisipssalud2019@hotmail.com,DANIELA MARGARITA RODRIGUEZ MURGAS,,,SI,"20,190,531","20,230,530",,7,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ARJONA,"1,305,200,709",HEEDSALUD DEL CARIBE S.A.S.,,"900,592,759",HEEDSALUD DEL CARIBE S.A.S.,1,Instituciones - IPS,,CALLE CENTRAL COLOMBIA KRA 39 47 49-69 MERCADO,"6291705, 3005794594 - 3135751658",,heedsalud@gmail.com,GIOVANA INES BOSIO NIETO,,,SI,"20,130,307","20,210,831",,5,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ARJONA,"1,305,200,762",INVERSIONES TELEMEDIC S.A.S,,"900,559,826",Inversiones Telemedic,1,Instituciones - IPS,,CALLE BELLAVISTA # 48-44 BARIO BELLAVISTA,3126653652,,direcciontelemedicsas@yahoo.es,WILMAN ENRIQUE HERRERA CASTAÑO,,,SI,"20,180,308","20,220,307",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ARJONA,"1,305,200,817",IPS LOS ROBLES MEDICINA ESPECIALIZADA,,"900,871,128",IPS LOS ROBLES MEDICINA ESPECIALIZADA,1,Instituciones - IPS,,BARRIO SAN JOSE CARRETERA TRONCAL # 51-97,3145614283 - 3205244802,,ipslosrobles@gmail.com,GUSTAVO ADOLFO JIMENEZ BORRE,,,SI,"20,151,216","20,210,831",,5,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ARROYOHONDO,"1,306,200,314",ESE CENTRO DE SALUD CON CAMA DE ARROYOHONDO,,"806,008,082",ESE CENTRO DE SALUD CON CAMAS DE ARROYOHONDO,1,Instituciones - IPS,SI,CRA 1#104 CALLE PRINCIPAL,3012690529 - 3008332830,,ese_arroyohondo@hotmail.com - tedisgenesnoriega@gmail.com,TEDIS GENES NORIEGA,1,MUNICIPAL,SI,"20,190,610","20,210,831",,4,JURIDICO,4,Pública,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,BARRANCO DE LOBA,"1,307,400,031",ESE HOSPITAL JOSE RUDECINDO LOPEZ PARODI,,"806,006,753",E.S.E. HOSPITAL JOSE RUDECINDO LOPEZ PARODI,1,Instituciones - IPS,SI,PUEBLO NUEVO,3106371253 - 3106370214,,hospital01barrancodeloba@hotmail.com-ericacossiomoreno@hotmail.com,ALEXANDER OBREGON MARTINEZ,1,MUNICIPAL,SI,"20,030,313","20,210,831",,9,JURIDICO,4,Pública,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CALAMAR,"1,314,000,813",CENTRO MEDICO DE REHABILITACIÓN INTEGRAL VIVIR S.A.S,,"900,836,955",CENTRO MEDICO DE REHABILITACIÓN INTEGRAL VIVIR S.A.S,1,Instituciones - IPS,,CARRERA 2 No 19-29 BARRIO CENTRO,3006366868 - 3013354362,,ips_integralvivir@hotmail.com,MARINA ESTHER VARGAS MOLINA,,,SI,"20,160,527","20,210,831",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CALAMAR,"1,314,000,490",centro medico especializado sonrisas reales ltda,,"900,188,095",centro medico especializado sonrisas reales ltda,1,Instituciones - IPS,,CALLE 19 TR1-76,6208273,,sonrisasreales.ips@hotmail.com,ANA MILENA REALES FERNANDEZ,,,SI,"20,160,401","20,210,831",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CALAMAR,"1,314,000,157",ESE HOSPITAL LOCAL DE CALAMAR,,"806,006,537",ESE HOSPITAL LOCAL DE CALAMAR,1,Instituciones - IPS,SI,KARRERA 2 # 1-78 BARRIO CENTRO,3205214523 - 3143197895,,esehospitallocaldecalamar@gmail.com,KAREN MARGARITA REALES OROZCO,1,MUNICIPAL,SI,"20,150,313","20,210,831",,4,JURIDICO,4,Pública,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CANTAGALLO,"1,316,000,135",ESE CENTRO DE SALUD CON CAMAS DE CANTAGALLO,,"829,001,887",ESE CENTRO DE SALUD CON CAMAS DE CANTAGALLO,1,Instituciones - IPS,SI,CALLE 1ª Nº 4-41,3123537767 - 3105897883,,ese@cantagallo-bolivar.gov.co,LEDYS RODRIGUEZ GUERRERO,1,MUNICIPAL,SI,"20,160,929","20,210,831",,8,JURIDICO,4,Pública,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,581",CENTRO DE PRACTICAS CLÍNICA ODONTOLÓGICA JUAN MANUEL MENDEZ BECHARA,,"891,000,692",CENTRO DE PRACTICAS CLÍNICA ODONTOLÓGICA JUAN MANUEL MENDEZ BECHARA,1,Instituciones - IPS,,Av. Pedro de Heredia- Sector amberes calle 30 Nº 35-175,6625904,,admincoci@unisinucartagena.edu.co,ILSE MORAIMA BECHARA CASTILLA,,,SI,"20,130,827","20,210,831",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,103,018",Aliansalud Medical SAS,,"900,693,478",Aliansalud Medical SAS,1,Instituciones - IPS,,BOCAGRANDE CALLE 6A No. 3-17 EDIFICIO JASBAN OFICINA 505,3005370838,,esmeraldabuelvas@yahoo.es,ESMERALDA LUCIA BUELVAS ORTEGA,,,SI,"20,171,211","20,211,210",,4,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,128",amesco ltda,,"900,031,694",amesco ltda,1,Instituciones - IPS,NO,"Bosque, Buena Vista Manzana A Lote 17",6621320,"6,748,314",amescocartagena@hotmail.com,Gustavo Perez Mier,,,SI,"20,090,702","20,210,831",,9,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,497",artdent odontologia especializada,,"900,570,379",artdent odontologia especializada,1,Instituciones - IPS,,SANTA MONICA Cra.71 No 30-136 LOCAL 236,6515134,,artdentplazuela@hotmail.com,CARLOS ELISEO MENDOZA CARVAJAL,,,SI,"20,121,207","20,210,831",,5,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,103,056",Asesorías y Servicios en salud ocupacional A y S Ocupacional SAS,,"900,406,129",Asesorías y Servicios en salud ocupacional A y S Ocupacional SAS,1,Instituciones - IPS,,SAN PEDRO. MANZANA 07 LOTE 04,6910495 - 3004404489,,cadministrativa@aysocupacional.com,Abis Yasir Ojeda Escudero,,,SI,"20,180,404","20,220,403",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,634",Asistencia Integral en Salud Ltda,,"802,013,670",Asistencia Integral en Salud Ltda,1,Instituciones - IPS,,Cra. 38 # 29-102 piso 2 barrio AMBERES,6621827 6436128-3135990183 3106600800,,jramos@aisltda.com.co,Juvenal De Jesus Ramos Gonzalez,,,SI,"20,140,507","20,210,831",,0,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,101,274",ASISTENCIA MEDICA INMEDIATA SERVICIO DE AMBULANCIA PREPAGADA SA,,"802,002,279",ASISTENCIA MEDICA INMEDIATA SERVICIO DE AMBULANCIA PREPAGADA S.A,1,Instituciones - IPS,,Manga carrera 22 #26-95,6606657,,directormd02@amiasistencia.com,Juan Pablo Davila Clavijo,,,SI,"20,170,809","20,210,831",,6,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,101,938",ASOCIACION DE ODONTOLOGOS DEL CARIBE,,"900,175,935",ASOCIACION DE ODONTOLOGOS DEL CARIBE,1,Instituciones - IPS,NO,Barrio El Country Centro Comercial Plaza Colon Locales 9 y 10,3008393767-6770001-3205436100,,odontocaribe2007@hotmail.com,YENIFER CASTELAR JULIO,,,SI,"20,071,024","20,210,831",,7,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,100,146",ASOCIACIÓN NIÑOS DE PAPEL,,"800,099,778",ASOCIACIÓN NIÑOS DE PAPEL,1,Instituciones - IPS,,"CANAPOTE, SECTOR LA ROSA",6580640,,cartagena@ninosdepapel.org,MANUEL JIMENEZ TEJERIZO,,,SI,"20,160,928","20,210,831",,9,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,101,949",ASOCIACION ODONTOLOGOS DE CARTAGENA DE INDIAS,,"900,174,940",ASOCIACION ODONTOLOGOS DE CARTAGENA DE INDIAS,1,Instituciones - IPS,NO,LA PROVIDENCIA URBANIZACION BIFFI DG 31A N 71 57,6633730,,provident09@hotmail.com,JEAN PAUL LOPEZ LUGO,,,SI,"20,071,212","20,210,831",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,100,824",ASOCIACIÓN PROFAMILIA,,"860,013,779",ASOCIACIÓN PROFAMILIA,1,Instituciones - IPS,NO,SUBIDA PRINCIPAL A LA POPA CRA 21 Nº 34-09,6581411 - 6581412 - 6661216 - 6665704,,mroyo@profamilia.org.co,MARTA ELENA ROYO RUIZ,,,SI,"20,061,115","20,210,831",,5,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,101,950",ASOCIACIONES DE ODONTOLOGOS DE LA COSTA-ODONTOCOSTA,,"900,175,248",ASOCIACIONES DE ODONTOLOGOS DE LA COSTA-ODONTOCOSTA,1,Instituciones - IPS,,MANGA AVENIDA CALIFORNIA CRA 17 No.26-30,6606889,,odontocosta@hotmail.com,ARMANDO ENRIQUE GONZÁLEZ TINOCO,,,SI,"20,071,217","20,210,831",,5,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,699",ATENCIÓN DE VIDA Y EXTRAMUROS S.A.S,,"900,294,853",ATENCIÓN DE VIDA Y EXTRAMUROS S.A.S,1,Instituciones - IPS,,CARRERA 66 No 22B-39 MZ 34 LT18,6718766,,AVESALUDSAS1565@GMAIL.COM,SILVANA MARIA BONFANTI MORALES,,,SI,"20,150,105","20,210,831",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,103,200",Atendemos IPS,,"901,265,165",Atendemos IPS,1,Instituciones - IPS,,Cr 63 31B-71,3147733267,,gerencia@atendemosips.com,Gabriel Mario Juliao Payares,,,SI,"20,190,710","20,230,709",,2,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,109",AUDIOCOM SAS,,"814,003,448",AUDIOCOM IPS,1,Instituciones - IPS,NO,Cra 22 No. 29C-31 Avenida El Albercon Pie de la Popa,(1) 3791900 ext 100 - 3176363751 - (5) 6930004,,administracion@audiocom.com.co servicio@audiocom.com.co,JAIRO DIEGO PORTILLA TORO,,,SI,"20,090,515","20,210,831",,2,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,101,145",cemic sas,,"806,009,230",cemic sas,1,Instituciones - IPS,,cabrero calle real n 42-62,6642240,"6,645,367",gerenciacemicnoraserrano@gmail.com,nohora edilsa serrano leones,,,SI,"20,111,121","20,210,831",,2,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,783",AYUDAS DIAGNOSTICAS SURA S.A.S,,"800,225,057",AYUDAS DIAGNOSTICAS SURA S.A.S,1,Instituciones - IPS,,Calle 29 B Y 30 Cra 17 y 18 Local 1-28 y 1-29 Centro comercial San Felipe - Barrio:Pie de la Popa,3114051490 - 3168783779,,ltorres@sura.com.co,Angela Maria Loaiza Arango,,,SI,"20,150,925","20,210,831",,8,JURIDICO,1,Privada,4,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,752",BERAKA IPS UNIDAD MEDICA DE PRACTICA INTEGRADA DE MEDICINA LABORAL DOLOR Y CUIDADOS CRONICOS SAS,,"900,831,640",BERAKA IPS UNIDAD MEDICA DE PRACTICA INTEGRADA DE MEDICINA LABORAL DOLOR Y CUIDADOS CRONICOS SAS,1,Instituciones - IPS,,"Santa Lucia, Carrera 70 No 2-24 Entrando por Notaria 5ª",3017864880,,berakaips@gmail.com,ARMANDO DE JESUS LUJAN SALCEDO,,,SI,"20,150,603","20,210,831",,4,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,082",BIENESTAR IPS S.A.S.,,"800,223,206",BIENESTAR IPS S.A.S.,1,Instituciones - IPS,NO,Diagonal 71 No. 26-236 Piso 1 y 2,3163706798,,edgardozambranob@cecam-ips.com,EDGARDO RAFAEL ZAMBRANO BROCHERO,,,SI,"20,090,309","20,210,831",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,961",BI-MEDICAL SAS,,"901,013,798",BI-MEDICAL SAS,1,Instituciones - IPS,,SANTA LUCIA CRA 70 #31-526 1A,3156032916,"6,794,911",Bi-medical@outlook.es,Isabel Cristina Mendoza Mendoza,,,SI,"20,170,704","20,210,831",,3,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,103,153",BIOCARE MEDICAL S.A.S,,"901,219,473",BIOCARE MEDICAL S.A.S,1,Instituciones - IPS,,BARRIO MANGA CALLE REAL CALLE 25 No 18-10 PISO 101,3016016912,,gerencia@biocaremedical.com.co,ADRIANA LUCIA RAMIREZ LUNA,,,SI,"20,190,110","20,230,109",,0,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,103,155",BIOMEDICARE,,"900,877,164",BIOMEDICARE,1,Instituciones - IPS,,DIAGONAL 30 # 51-76 LOCAL 13 BARRIO CEBALLOS,3183706235,"3,183,421,679",ipsbiomedicare@gmail.com,JUAN RICARDO MONTOYA QUINTANA,,,SI,"20,190,114","20,230,113",,8,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,827",BIOSALUD LABORATORIO S.A.S.,,"900,945,743",BIOSALUD LABORATORIO S.A.S.,1,Instituciones - IPS,,"LIBANO, SECTOR CUATRO VIENTOS,CAMINOD DEL MEDIO Cra. 31 No 49C-25",6478052 - 3165622527,,biosaludlaboratorio.sas@gmail.com,YANIRIS ESTHER VELASQUEZ MARTINEZ,,,SI,"20,160,317","20,210,831",,4,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,103,293",BOSTON MEDICAL CARE IPS SAS,,"900,301,238",Boston Medical Care IPS SAS,1,Instituciones - IPS,,Carrera 4ta No. 6 - 78 Barrio Bocagrande,3177743631,,martha.ariza@convatec.com,Constanza Susana Cabrera Cadena,,,SI,"20,200,925","20,240,924",,2,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,554",BOSTON MEDICAL GROUP DE COLOMBIA SAS,,"900,291,373",BOSTON MEDICAL GROUP DE COLOMBIA SAS,1,Instituciones - IPS,,CALLE 6 A 3 17 EDF JUSBAN OF 809,6930511,,jsaffon@bostonmedical.com.co,JOSE PABLO SAFFON CUARTAS,,,SI,"20,130,808","20,210,831",,4,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,100,765",CAJA DE COMPENSACION FAMILIAR,,"890,480,110",CAJA DE COMPENSACION FAMILIAR,1,Instituciones - IPS,NO,PASEO BOLIVAR CRA 17 Nº 46-08,6661009,"6,567,923",comfa@enred.com,CESAR HUMBERTO GARCÍA JARAMILLO,,,SI,"20,061,117","20,210,831",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,103,047",CAJA DE COMPENSACIÓN FAMILIAR CAFAM,,"860,013,570",CAJA DE COMPENSACION FAMILIAR CAFAM,1,Instituciones - IPS,,Calle 31 No 50-83 C.C los 4 vientos Local 1 al 5b,(091)-5550700 ext 12017-12015 tel: 6429982-6429984,,calidadsalud@cafam.com.co,RICARDO ANDRES URRUTIA GARCIA,,,SI,"20,180,314","20,220,313",,3,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,617",CAMINEMOS IPS S.A.S.,,"900,589,483",CAMINEMOS IPS S.A.S.,1,Instituciones - IPS,,PIE DE LA POPA CRA. 22 # 29A-184,6720273,"6,720,593",caminemos_17@yahoo.com.co,LEICY LORENA REYES MARTINEZ,,,SI,"20,140,214","20,210,831",,7,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,103,098",CAMINOS IPS S.A.S,,"901,111,348",CAMINOS IPS S.A.S,1,Instituciones - IPS,,calle 15 N°76B-130,3104376084,"6,614,732",ipscaminos@gmail.com,Martha Matilde Castaño Vergara,,,SI,"20,180,730","20,220,729",,2,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,623",CARDIODINAMIA DEL CARIBE SAS,,"900,565,721",CARDIODINAMIA DEL CARIBE SAS,1,Instituciones - IPS,,AVENIDA PEDRO DE HEREDIA BARRIO ARMENIA CALLE 31 No. 48-04,6424839,"6,424,840",gerenciacardiodinamia@gmail.com,KENDELL ALONSO PIÑEROS MOSCOTE,,,SI,"20,150,223","20,210,831",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,510",CARDIOSALUD IPS CARTAGENA S.A S.,,"900,573,485",CARDIOSALUD IPS S.A.S,1,Instituciones - IPS,,PIE DE LA POPA No 30 - 29 CONSULTORIO 304,6606682-6583708,,kcuribano@gmail.com,KAREN MARGARITA CARMONA BARROSO,,,SI,"20,180,713","20,210,831",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,937",CARLOS PARRA BUSINESS MEDICAL CENTER,,"900,980,769",CARLOS PARRA BUSINESS MEDICAL CENTER,1,Instituciones - IPS,,BOCAGRANDE CARRERA 3 # 7-133 LOCAL 4,6552095,"6,552,095",gerencia@carlosparra.co,CARLOS ERNESTO PARRA CONRADO,,,SI,"20,170,427","20,210,831",,3,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,103,186",CARTAGENA CLINICOS PROGRAMAS DE ATENCION INTEGRAL SAS IPS,,"900,496,641",CLINICOS Programas de Atención Integral S.A.S IPS,1,Instituciones - IPS,,"AVENIDA PDERO DE HEREDIA, Cra 13 LOCALES 263,264,265, CENTRO COMERCIAL MALL PLAZA",7460885,,Lider.calidad@clinicos.com.co,JOAQUIN CEPEDA FACUSEH,,,SI,"20,190,429","20,230,428",,4,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,103,314",CARTAGENA PLASTIC & RECONSTRUCTIVE SURGERY INSTITUTE SAS,,"901,312,900",CARTAGENA PLASTIC & RECONSTRUCTIVE SURGERY INSTITUTE SAS,1,Instituciones - IPS,,Edificio Genesis piso 1 y 2 puertas de las americas anillo vial Km 12,3102450061,,cvasquezd2011@hotmail.com,Carolina Vasquez Delgado,,,SI,"20,201,109","20,241,108",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,608",CEDECO - GER S.A.S,,"900,656,074",CEDECO - GER S.A.S,1,Instituciones - IPS,,CENTRO LA MATUNA EDIFICIO ARAUJO 509,6647161,"6,647,161",cedeconorma@yahoo.es,GLADIS ESCORCIA ROCA,,,SI,"20,140,123","20,210,831",,5,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,103,189",CEFERA IPS SAS,,"900,589,233",CEFERA IPS S.A.S,1,Instituciones - IPS,,carrera 21A #30-29 PISO 2 BARRIO PIE DE LA POPA,3006814740,"300,614,740",ceferaips@gmail.com,ANDRES RAMOS LEAÑO,,,SI,"20,190,529","20,230,528",,2,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,101,943",CENTRO CARDIOVASCULAR ARISTIDES SOTOMAYOR SANTA LUCIA SOCIEDAD POR ACCIONES SIMPLIFICADA-IPS ASTALUC SAS IPS,,"900,182,762",CENTRO CARDIOVASCULAR ARISTIDES SOTOMAYOR SANTA LUCIA SOCIEDAD POR ACCIONES SIMPLIFICADA-IPS ASTALUC SAS IPS,1,Instituciones - IPS,,PROVIDENCIA CRA 71 No. 31-315,6612975,"6,635,122",arisotomayor@yahoo.com,ARISTIDES SOTOMAYOR HERAZO,,,SI,"20,071,127","20,210,831",,9,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,CARTAGENA,"1,300,102,108",CENTRO CARDIOVASCULAR LUNA PACINI S.A.S,,"900,279,506",CENTRO CARDIOVASCULAR LUNA PACINI S.A.S,1,Instituciones - IPS,NO,LA PROVIDENCIA CR 71 N° 31-395 CMB 2° PISO,6475460 - 3182819131,,tapiga@hotmail.com,JULIO CESAR LUNA FLOREZ,,,SI,"20,090,514","20,210,831",,8,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
